formula,Nb,Mo,Ta,W,C11,C12,C44,a,b,c,G,B,E,v,Pugh,Zener
Nb24Mo27Ta27W22,24,27,27,22,398.105,165.814,80.895,64.885,64.886,64.888,93.534,243.245,248.722,0.33,2.601,0.696
Nb18Mo26Ta31W25,18,26,31,25,407.802,168.633,86.809,64.824,64.823,64.828,98.709,248.356,261.484,0.325,2.516,0.726
Nb23Mo35Ta21W21,23,35,21,21,418.179,171.427,87.409,64.675,64.675,64.675,100.372,253.678,266.029,0.325,2.527,0.708
Nb26Mo22Ta34W18,26,22,34,18,370.241,159.109,72.085,65.159,65.158,65.151,84.018,229.486,224.64,0.337,2.731,0.683
Nb16Mo34Ta22W28,16,34,22,28,440.499,178.119,98.423,64.51,64.51,64.51,110.439,265.579,290.982,0.317,2.405,0.75
Nb25Mo28Ta18W29,25,28,18,29,420.268,172.399,87.901,64.673,64.673,64.67,100.891,255.022,267.41,0.325,2.528,0.709
Nb5Mo33Ta32W30,5,33,32,30,455.706,182.638,108.385,64.453,64.458,64.455,118.885,273.661,311.542,0.31,2.302,0.794
Nb30Mo11Ta25W34,30,11,25,34,385.477,164.32,76.888,65.041,65.047,65.052,88.961,238.039,237.319,0.334,2.676,0.695
Nb34Mo23Ta25W18,34,23,25,18,369.162,158.27,67.808,65.13,65.127,65.134,80.983,228.567,217.286,0.342,2.822,0.643
Nb34Mo27Ta16W23,34,27,16,23,394.952,165.303,75.36,64.871,64.867,64.871,89.259,241.853,238.443,0.336,2.71,0.656
Nb28Mo31Ta26W15,28,31,26,15,386.66,162.377,74.954,64.966,64.961,64.965,88.123,237.138,235.23,0.335,2.691,0.668
Nb32Mo14Ta23W31,32,14,23,31,383.848,163.321,74.87,65.045,65.042,65.039,87.463,236.83,233.63,0.336,2.708,0.679
Nb15Mo32Ta27W26,15,32,27,26,430.215,174.829,95.168,64.618,64.612,64.618,107.071,259.958,282.437,0.319,2.428,0.745
Nb25Mo31Ta27W17,25,31,27,17,394.159,164.47,78.7,64.906,64.9,64.909,91.596,241.033,243.894,0.331,2.631,0.685
Nb20Mo20Ta28W32,20,20,28,32,410.342,169.904,87.688,64.814,64.818,64.814,99.516,250.05,263.581,0.324,2.513,0.729
Nb34Mo35Ta7W24,34,35,7,24,418.587,172.855,82.685,64.611,64.61,64.607,96.943,254.766,258.093,0.331,2.628,0.673
Nb26Mo28Ta15W31,26,28,15,31,425.118,174.134,89.382,64.622,64.618,64.625,102.417,257.795,271.322,0.325,2.517,0.712
Nb29Mo34Ta25W12,29,34,25,12,386.08,161.996,73.889,64.956,64.95,64.955,87.345,236.69,233.334,0.336,2.71,0.659
Nb33Mo31Ta8W28,33,31,8,28,420.379,173.392,84.306,64.621,64.621,64.623,98.272,255.721,261.339,0.33,2.602,0.683
Nb31Mo16Ta29W24,31,16,29,24,368.794,159.293,70.416,65.177,65.179,65.175,82.596,229.127,221.207,0.339,2.774,0.672
Nb20Mo27Ta31W22,20,27,31,22,400.732,166.487,83.479,64.877,64.878,64.882,95.626,244.569,253.799,0.327,2.558,0.713
Nb24Mo29Ta15W32,24,29,15,32,432.163,176.092,92.619,64.565,64.565,64.564,105.464,261.449,278.892,0.322,2.479,0.723
Nb21Mo33Ta17W29,21,33,17,29,436.614,177.15,95.038,64.52,64.522,64.52,107.669,263.638,284.303,0.32,2.449,0.733
Nb24Mo13Ta31W32,24,13,31,32,387.982,164.865,80.039,65.031,65.034,65.034,91.442,239.238,243.324,0.33,2.616,0.717
Nb27Mo34Ta11W28,27,34,11,28,431.244,176.146,90.449,64.526,64.532,64.528,103.824,261.178,275.028,0.324,2.516,0.709
Nb32Mo21Ta35W12,32,21,35,12,346.561,153.024,62.544,65.371,65.368,65.369,74.542,217.536,200.701,0.346,2.918,0.646
Nb18Mo34Ta17W31,18,34,17,31,447.131,180.359,100.119,64.436,64.435,64.439,112.32,269.283,295.829,0.317,2.397,0.751
Nb9Mo24Ta33W34,9,24,33,34,436.51,177.018,100.59,64.62,64.614,64.619,111.389,263.515,292.896,0.315,2.366,0.775
Nb19Mo32Ta28W21,19,32,28,21,412.28,169.558,87.173,64.756,64.754,64.761,99.546,250.465,263.701,0.325,2.516,0.718
Nb30Mo6Ta30W34,30,6,30,34,371.422,162.093,73.889,65.2,65.198,65.205,84.969,231.869,227.158,0.337,2.729,0.706
